,2017,2018,2019,2020,2021,2022,2023,2024
45,RADL3.SA,PETR3.SA,PCAR4.SA,LREN3.SA,ITUB4.SA,SOMA3.SA,SOMA3.SA,IRBR3.SA
46,RUMO3.SA,PETR4.SA,PETR3.SA,MGLU3.SA,JBSS3.SA,HAPV3.SA,HAPV3.SA,ITSA4.SA
47,SBSP3.SA,QUAL3.SA,PETR4.SA,MRFG3.SA,JHSF3.SA,HYPE3.SA,HYPE3.SA,ITUB4.SA
48,SANB11.SA,RADL3.SA,BRDT3.SA,MRVE3.SA,KLBN11.SA,IGTI11.SA,IGTI11.SA,JBSS3.SA
49,CSNA3.SA,RAIL3.SA,QUAL3.SA,MULT3.SA,RENT3.SA,GNDI3.SA,ITSA4.SA,KLBN11.SA
50,SMLE3.SA,SBSP3.SA,RADL3.SA,PCAR4.SA,LCAM3.SA,IRBR3.SA,ITUB4.SA,LREN3.SA
51,SUZB5.SA,SAPR11.SA,RAIL3.SA,PETR3.SA,LAME4.SA,ITSA4.SA,JBSS3.SA,LWSA3.SA
52,VIVT4.SA,SANB11.SA,SBSP3.SA,PETR4.SA,LREN3.SA,ITUB4.SA,KLBN11.SA,MGLU3.SA
53,TIMP3.SA,CSNA3.SA,SANB11.SA,BRDT3.SA,MGLU3.SA,JBSS3.SA,RENT3.SA,MRFG3.SA
54,UGPA3.SA,SMLS3.SA,CSNA3.SA,QUAL3.SA,MRFG3.SA,JHSF3.SA,LWSA3.SA,MRVE3.SA
55,USIM5.SA,SUZB3.SA,SMLS3.SA,RADL3.SA,BEEF3.SA,KLBN11.SA,LREN3.SA,MULT3.SA
56,VALE3.SA,TAEE11.SA,SUZB3.SA,RAIL3.SA,MRVE3.SA,RENT3.SA,MGLU3.SA,NTCO3.SA
57,VALE5.SA,VIVT4.SA,TAEE11.SA,SBSP3.SA,MULT3.SA,LCAM3.SA,MRFG3.SA,PCAR3.SA
58,WEGE3.SA,TIMP3.SA,VIVT4.SA,SANB11.SA,PCAR3.SA,LWSA3.SA,CASH3.SA,PETR3.SA
59,,UGPA3.SA,TIMP3.SA,CSNA3.SA,PETR3.SA,LAME4.SA,BEEF3.SA,PETR4.SA
60,,USIM5.SA,UGPA3.SA,SMLS3.SA,PETR4.SA,LREN3.SA,MRVE3.SA,PETZ3.SA
61,,VALE3.SA,USIM5.SA,SULA11.SA,BRDT3.SA,MGLU3.SA,MULT3.SA,PRIO3.SA
62,,VVAR11.SA,VALE3.SA,SUZB3.SA,PRIO3.SA,MRFG3.SA,PCAR3.SA,RADL3.SA
63,,WEGE3.SA,VVAR3.SA,TAEE11.SA,QUAL3.SA,CASH3.SA,PETR3.SA,RAIL3.SA
64,,,WEGE3.SA,VIVT4.SA,RADL3.SA,BEEF3.SA,PETR4.SA,RAIZ4.SA
65,,,,TIMP3.SA,RAIL3.SA,MRVE3.SA,PRIO3.SA,RDOR3.SA
66,,,,TOTS3.SA,SBSP3.SA,MULT3.SA,PETZ3.SA,RECV3.SA
67,,,,UGPA3.SA,SANB11.SA,PCAR3.SA,QUAL3.SA,RENT3.SA
68,,,,USIM5.SA,CSNA3.SA,PETR3.SA,RADL3.SA,RRRP3.SA
69,,,,VALE3.SA,SULA11.SA,PETR4.SA,RAIZ4.SA,SANB11.SA
70,,,,VVAR3.SA,SUZB3.SA,PRIO3.SA,RDOR3.SA,SBSP3.SA
71,,,,WEGE3.SA,TAEE11.SA,PETZ3.SA,RAIL3.SA,SLCE3.SA
72,,,,YDUQ3.SA,VIVT3.SA,POSI3.SA,SBSP3.SA,SMTO3.SA
73,,,,,TIMS3.SA,QUAL3.SA,SANB11.SA,SOMA3.SA
74,,,,,TOTS3.SA,RADL3.SA,SMTO3.SA,SUZB3.SA
75,,,,,UGPA3.SA,RDOR3.SA,CSNA3.SA,TAEE11.SA
76,,,,,USIM5.SA,RAIL3.SA,SLCE3.SA,TIMS3.SA
77,,,,,VALE3.SA,SBSP3.SA,SUZB3.SA,TOTS3.SA
78,,,,,VVAR3.SA,SANB11.SA,TAEE11.SA,TRPL4.SA
79,,,,,WEGE3.SA,CSNA3.SA,VIVT3.SA,UGPA3.SA
80,,,,,YDUQ3.SA,SULA11.SA,TIMS3.SA,USIM5.SA
81,,,,,,SUZB3.SA,TOTS3.SA,VALE3.SA
82,,,,,,TAEE11.SA,UGPA3.SA,VAMO3.SA
83,,,,,,VIVT3.SA,USIM5.SA,VBBR3.SA
84,,,,,,TIMS3.SA,VALE3.SA,VIVT3.SA
85,,,,,,TOTS3.SA,VIIA3.SA,WEGE3.SA
86,,,,,,UGPA3.SA,VBBR3.SA,YDUQ3.SA
87,,,,,,USIM5.SA,WEGE3.SA,
88,,,,,,VALE3.SA,YDUQ3.SA,
89,,,,,,VIIA3.SA,,
90,,,,,,VBBR3.SA,,
91,,,,,,WEGE3.SA,,
92,,,,,,YDUQ3.SA,,
